first,last,agreement
1,120,0.8416666666666667
41,158,0.8728813559322034
81,198,0.8389830508474576
121,238,0.7627118644067796
159,278,0.9083333333333333
319,438,0.7416666666666667
399,518,0.85
639,758,0.6083333333333333
719,838,0.7416666666666667
839,958,0.9166666666666666
919,1038,0.875
1119,1238,0.65
1159,1278,0.7
1199,1318,0.65
1239,1358,0.5833333333333334
1559,1678,0.775
1599,1718,0.6166666666666667
1639,1758,0.6583333333333333
1719,1838,0.7333333333333333
2119,2238,0.9583333333333334
2159,2278,0.7916666666666666
2319,2438,0.6916666666666667
2479,2586,0.7870370370370371
2519,2626,0.6111111111111112
2707,2823,0.7777777777777778
2744,2863,0.6
2904,3023,0.6166666666666667
2944,3063,0.6916666666666667
3095,3211,0.7948717948717948
3372,3491,0.775
3492,3608,0.8717948717948718
3809,3898,0.8222222222222222
4055,4174,0.5916666666666667
4095,4214,0.6416666666666667
4135,4254,0.7916666666666666
4175,4294,0.7833333333333333
4215,4334,0.675
4295,4414,0.6666666666666666
4415,4534,0.5916666666666667
4535,4654,0.5416666666666666
4575,4694,0.6333333333333333
4815,4931,0.7350427350427351
4932,5051,0.7833333333333333
4972,5091,0.8666666666666667
5012,5131,0.8916666666666667
5052,5171,0.6416666666666667
5092,5211,0.775
5212,5331,0.725
5252,5371,0.6
5292,5411,0.6583333333333333
5332,5451,0.9083333333333333
5452,5571,0.9666666666666667
5652,5771,0.7916666666666666
5692,5811,0.7916666666666666
5732,5851,0.8583333333333333
6012,6131,0.8
6092,6211,0.6583333333333333
6132,6251,0.6666666666666666
6212,6331,0.7916666666666666
6252,6371,0.7916666666666666
6412,6531,0.6666666666666666
6452,6571,0.75
6612,6731,0.775
6972,7091,0.8083333333333333
7012,7131,0.8333333333333334
7052,7171,0.6583333333333333
7132,7251,0.775
7172,7291,0.6
7452,7571,0.7166666666666667
7772,7891,0.7
8092,8211,0.75
8132,8251,0.7166666666666667
8292,8411,0.7166666666666667
8691,8810,0.7416666666666667
8811,8930,0.9666666666666667
8851,8970,0.7083333333333334
9211,9330,0.7916666666666666
9251,9370,0.7
9371,9490,0.525
9411,9530,0.8416666666666667
9611,9730,0.9333333333333333
10131,10250,0.7583333333333333
10371,10490,0.7333333333333333
10411,10530,0.6416666666666667
10451,10570,0.8916666666666667
10851,10970,0.95
10931,11050,0.775
10971,11090,0.6583333333333333
11011,11130,0.6333333333333333
11051,11170,0.7083333333333334
11091,11210,0.6833333333333333
11211,11330,0.8
11651,11770,0.525
11691,11810,0.6166666666666667
11731,11850,0.9
11771,11890,0.7666666666666667
12171,12290,0.7
12371,12490,0.8583333333333333
12571,12690,0.6333333333333333
12611,12730,0.7333333333333333
12691,12810,0.5416666666666666
12891,13010,0.9416666666666667
13330,13449,0.6416666666666667
13370,13488,0.7394957983193278
13410,13528,0.6302521008403361
13647,13766,0.6416666666666667
13687,13806,0.7583333333333333
13807,13926,0.9583333333333334
13887,14006,0.6
13927,14046,0.7166666666666667
14007,14126,0.5916666666666667
14047,14166,0.85
14087,14206,0.7666666666666667
14127,14246,0.5916666666666667
14207,14326,0.8416666666666667
14367,14486,0.8916666666666667
14447,14566,0.7083333333333334
14527,14646,0.8833333333333333
14687,14806,0.8083333333333333
14727,14846,0.8333333333333334
14767,14886,0.65
14847,14966,0.725
14887,15006,0.6333333333333333
14967,15086,0.7416666666666667
15007,15126,0.65
15607,15725,0.5126050420168067
15646,15765,0.6083333333333333
16446,16565,0.8
16486,16605,0.775
16766,16885,0.7
17086,17205,0.75
17126,17245,0.9166666666666666
17166,17285,0.6916666666666667
17206,17325,0.7166666666666667
17326,17445,0.775
17366,17485,0.8416666666666667
17446,17565,0.725
17526,17645,0.8666666666666667
17766,17885,0.65
17846,17965,0.85
17966,18085,0.75
18646,18765,0.6
18686,18805,0.5166666666666667
18806,18925,0.5916666666666667
18846,18965,0.5583333333333333
18926,19045,0.8666666666666667
19046,19165,0.8
19166,19285,0.7083333333333334
19206,19325,0.6916666666666667
19366,19485,0.7916666666666666
19406,19525,0.7916666666666666
19446,19565,0.7666666666666667
19646,19765,0.6333333333333333
19766,19885,0.85
19926,20045,0.6666666666666666
19966,20085,0.975
20206,20325,0.6
20286,20405,0.875
20446,20565,0.85
20486,20605,0.625
20806,20925,0.8416666666666667
20846,20965,0.7083333333333334
21006,21125,0.9833333333333333
21126,21245,0.9166666666666666
21326,21445,0.6833333333333333
21366,21485,0.8166666666666667
21406,21525,0.6166666666666667
21446,21565,0.6333333333333333
22102,22219,0.7711864406779662
22140,22259,0.7916666666666666
22698,22817,0.8916666666666667
22738,22857,0.7666666666666667
22778,22897,0.8333333333333334
23098,23217,0.7083333333333334
23298,23417,0.8
23338,23457,0.75
23498,23617,0.725
23538,23657,0.6833333333333333
23578,23697,0.6666666666666666
23698,23817,0.875
23978,24097,0.9333333333333333
24257,24376,0.65
25017,25136,0.6916666666666667
25137,25256,0.7333333333333333
25177,25296,0.8333333333333334
25217,25336,0.95
25337,25455,0.6638655462184874
25456,25575,0.9166666666666666
25496,25615,0.8666666666666667
25536,25655,0.7583333333333333
25576,25695,0.6083333333333333
25656,25775,0.75
25816,25935,0.9
25856,25975,0.8833333333333333
25896,26015,0.8083333333333333
25936,26055,0.8583333333333333
26016,26135,0.8916666666666667
26096,26215,0.7083333333333334
26136,26255,0.875
26176,26295,0.5583333333333333
26216,26335,0.8333333333333334
26256,26375,0.5583333333333333
26376,26491,0.7586206896551724
26416,26528,0.6283185840707964
26453,26568,0.7413793103448276
26492,26608,0.8376068376068376
26529,26648,0.7916666666666666
26569,26688,0.6916666666666667
26609,26728,0.775
26729,26848,0.8583333333333333
27249,27368,0.9
27402,27521,0.7833333333333333
27442,27561,0.65
27522,27641,0.8166666666666667
28759,28878,0.8583333333333333
28839,28958,0.8166666666666667
28959,29078,0.8416666666666667
28999,29118,0.8916666666666667
29039,29158,0.7666666666666667
29079,29198,0.8083333333333333
29119,29238,0.7666666666666667
29239,29358,0.75
29279,29398,0.8083333333333333
29319,29438,0.7
29399,29512,0.8771929824561403
29513,29630,0.864406779661017
29551,29670,0.875
29591,29710,0.7
